,Street,Suburb,City,Country,Address,long,lat
35,27 PACKE STREET,BEALEY,CHRISTCHURCH,NEW ZEALAND,"27 PACKE STREET,BEALEY,CHRISTCHURCH,NEW ZEALAND",172.6443871,-43.5194318
36,20 SALTAIRE STREET,NORTH NEW BRIGHTON,CHRISTCHURCH,NEW ZEALAND,"20 SALTAIRE STREET,NORTH NEW BRIGHTON,CHRISTCHURCH,NEW ZEALAND",172.7122268,-43.4938774
37,"3 KAKARIKI LANE, CLIFTON",CHRISTCHURCH CENTRAL,CHRISTCHURCH,NEW ZEALAND,"3 KAKARIKI LANE, CLIFTON,CHRISTCHURCH CENTRAL,CHRISTCHURCH,NEW ZEALAND",172.7462063,-43.5708894
38,36 JEFFREYS ROAD,BRYNDWR,CHRISTCHURCH,NEW ZEALAND,"36 JEFFREYS ROAD,BRYNDWR,CHRISTCHURCH,NEW ZEALAND",172.5945826,-43.5132977
39,345 CASHEL STREET,LINWOOD,CHRISTCHURCH,NEW ZEALAND,"345 CASHEL STREET,LINWOOD,CHRISTCHURCH,NEW ZEALAND",172.6514435,-43.5328785
40,23 KENT LODGE AVENUE,AVONHEAD,CHRISTCHURCH,NEW ZEALAND,"23 KENT LODGE AVENUE,AVONHEAD,CHRISTCHURCH,NEW ZEALAND",172.5464753,-43.5232292
41,5B AVENGER CRESCENT,WIGRAM,CHRISTCHURCH,NEW ZEALAND,"5B AVENGER CRESCENT,WIGRAM,CHRISTCHURCH,NEW ZEALAND",172.5654115,-43.552104
42,20 KIRKWOOD AVE,ILAM,CHRISTCHURCH,NEW ZEALAND,"20 KIRKWOOD AVE,ILAM,CHRISTCHURCH,NEW ZEALAND",172.5847619,-43.5278681
43,92 RUSSLEY ROAD,RUSSLEY,CHRISTCHURCH,NEW ZEALAND,"92 RUSSLEY ROAD,RUSSLEY,CHRISTCHURCH,NEW ZEALAND",172.5387021,-43.5141478
44,9 CAMERON STREET,WALTHAM,CHRISTCHURCH,NEW ZEALAND,"9 CAMERON STREET,WALTHAM,CHRISTCHURCH,NEW ZEALAND",172.642015,-43.5509728
45,77 CARLTON MILL ROAD,MERIVALE,CHRISTCHURCH,NEW ZEALAND,"77 CARLTON MILL ROAD,MERIVALE,CHRISTCHURCH,NEW ZEALAND",172.6234537,-43.5208447
46,65B HILLSBOROUGH TERRACE,MURRAY AYNSLEY,CHRISTCHURCH,NEW ZEALAND,"65B HILLSBOROUGH TERRACE,MURRAY AYNSLEY,CHRISTCHURCH,NEW ZEALAND",172.6609946,-43.5679401
47,83 BORDESLEY STREET,LINWOOD,CHRISTCHURCH,NEW ZEALAND,"83 BORDESLEY STREET,LINWOOD,CHRISTCHURCH,NEW ZEALAND",172.663747,-43.537706
48,1 PICTON AVE,ADDINGTON,CHRISTCHURCH,NEW ZEALAND,"1 PICTON AVE,ADDINGTON,CHRISTCHURCH,NEW ZEALAND",172.6056399,-43.5374932
49,23 FREDERICK STREET,PHILLIPSTOWN,CHRISTCHURCH,NEW ZEALAND,"23 FREDERICK STREET,PHILLIPSTOWN,CHRISTCHURCH,NEW ZEALAND",172.6636662,-43.54274050000001
50,78 HOLLY ROAD,ST ALBANS,CHRISTCHURCH,NEW ZEALAND,"78 HOLLY ROAD,ST ALBANS,CHRISTCHURCH,NEW ZEALAND",172.6303761,-43.5159515
