,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
10,3245,7394,1079,5181,11297,1307,3520,11239,1908,8502,0,3293,7668,11978,8057,6105,10963,2082,12149,9280,4154,6972,8689,8841,6527,2978,5118,4297,7332,5960,10873,2777,6228,6252,2330,3526,10538,2792,6334,7604,1869,8921,3368,7265,5420,9988,14586,849,1507,2800,5893,1352,9543,3183,6956,9918,5387,5258,5240,1452,7232,2050,10305,11196,2812,595,5117,6560,3776,10418,7144,3775,6444,11311,6358,3458,9372,8950,3287,9708,2015,3012,5434,1857,8275,12395,9403,1801,7150,6141,4325,5700,9816,1623,10036,1579,5792,1695,6785,10976
11,5275,10114,2653,3098,13914,3090,3774,11492,3549,6198,3294,0,7085,14364,9761,7810,8658,1212,14535,11606,1785,4603,6384,6537,6780,3879,2749,5101,4963,8646,8568,5870,6370,6483,1733,5967,8234,5517,6787,5766,1504,7043,6462,8070,5461,12373,14840,3120,2228,1292,6457,4039,8538,4973,7685,12304,8107,5822,8192,3224,8037,2854,8001,11450,4402,3352,6912,7124,1644,8113,7873,6718,8148,17201,8062,1847,11757,6646,5729,13902,4702,1800,7189,3782,5970,12649,11459,3727,9870,5955,2020,6728,7511,4421,10290,4377,6356,2464,7016,17155
12,7220,10862,7737,8512,15211,7966,9874,20279,7006,3204,7654,6803,0,16385,10188,6918,10489,6213,16580,15602,6825,7628,5002,6559,11086,5083,6465,11580,8251,11389,8925,8460,10509,4123,5509,7913,8380,10361,12888,9905,6168,10294,8728,14549,11266,14821,23627,7749,6473,7393,12557,8701,11831,9842,13785,13629,9916,11922,10000,6769,14516,8734,8571,20236,5082,7944,5247,13224,5584,8647,13973,8664,7257,16438,7171,5793,13083,5263,7674,13990,9087,5984,13668,8660,6289,21435,12619,8604,10416,3195,5568,4556,7136,7916,19076,7871,12457,8518,4504,16685
13,9184,5368,12606,20270,2718,12690,17725,22110,11373,18549,11692,15017,16861,0,9325,9526,23476,13766,134,3442,15681,20616,20878,21355,19713,12101,19452,13816,21238,11521,23386,9624,20033,12359,12593,8628,23052,13640,15945,21410,13552,22726,8918,15370,18891,2930,25457,12376,13196,14328,16708,14931,22729,14230,16567,3409,6873,16072,6978,11894,15338,16308,22819,22067,11579,12122,12110,17115,13534,22932,16755,7815,9188,2256,9495,13216,3147,21140,9868,4998,14118,12770,14263,14933,20788,23266,4114,15692,5446,13201,14083,11812,22330,11117,20907,11335,15871,13222,12266,2503
14,5328,5171,8977,13276,7962,9062,11411,19130,6180,10503,8063,9785,8814,9136,0,2508,15253,8747,9331,6265,11589,12392,12831,13132,15850,6113,11229,10820,13015,11020,15163,6484,15273,4312,8043,5679,14828,8564,15445,14669,8702,15058,6751,14870,13318,7572,22478,8748,8199,9709,13137,9106,16595,10183,16067,8610,5864,12502,6166,6628,14837,9800,14596,19088,5591,8493,3578,16615,8985,14708,16255,5778,2170,9189,2477,7915,8063,13093,5698,9268,9206,7999,13762,9610,12565,20286,5370,9554,4726,5154,10332,3866,14106,6738,17927,6956,15371,9593,4220,9436
15,3937,4780,6796,10098,8199,6886,9236,16955,4204,9859,5882,7810,6900,9373,2573,0,13503,6772,9568,6136,9839,10642,11229,11382,14100,4138,9479,9436,11265,8105,13413,5177,13522,2717,6068,4629,13078,7180,12528,12918,6727,13308,5444,11954,11138,7809,20302,6567,6224,7734,11468,6931,14845,8799,13150,7942,4899,10833,5201,4653,11921,7625,12845,16912,3616,6312,1878,12135,7010,12958,13338,4813,338,9426,350,5940,7395,11490,4391,8302,7031,6024,10846,7435,10815,18111,5607,7379,4334,3559,8582,2166,12356,4783,15752,4738,11368,7413,3251,9673
16,11390,16229,9503,6016,22044,9005,6656,11802,10562,8387,10691,8135,10424,23218,15063,13297,0,8085,23414,19572,7351,3279,5610,4318,4245,9994,6717,10484,3544,13736,2874,12630,4227,11196,8413,12082,3362,11804,10608,3479,9072,1140,12897,12168,4985,21654,15150,10653,9334,7424,8862,9651,1863,10478,10128,19631,14222,8225,14307,10324,12135,8830,1702,11760,10518,10848,11625,9675,6915,1815,9153,12833,13635,22291,13550,7891,19664,5872,11844,18992,10314,7915,11242,9219,4284,12958,19452,9163,16795,10668,6900,11442,4516,11471,10599,11426,8995,8809,11729,22245
17,4237,9076,1862,3326,12876,2090,3974,11692,2521,6928,2082,1210,6233,13326,8723,6772,8299,0,13497,10568,2012,4830,7115,7267,6980,2842,2976,4840,5190,7806,8573,4623,6598,5575,704,4930,8964,4302,6878,5993,292,7271,5214,7808,5688,11336,15040,1873,1210,1519,6436,2864,8765,3966,7500,11266,7069,5801,7154,2195,7775,2593,7642,11650,3365,2105,5670,7103,2202,7755,7688,5621,7110,12658,7025,1904,10719,7376,4691,11553,3525,1439,6928,2784,6701,12849,10422,2728,8832,5047,2751,5820,8242,3469,10490,3424,6336,2203,6108,12323
18,9061,5245,12484,20535,2852,12568,17990,22375,11251,18747,11569,14894,17058,134,9522,9724,24105,13644,0,3639,15558,20813,21076,21553,19978,11979,19650,14081,21436,11786,23584,9502,20298,12557,12471,8505,23250,13905,16210,21675,13430,22992,8796,15636,19156,3127,25723,12254,13074,14205,16973,15196,22994,14495,16832,3544,6751,16338,6855,11772,15603,16573,23016,22332,11457,11999,12307,17380,13412,23129,17020,7693,9386,2391,9693,13094,3282,21337,9746,5132,14383,12648,14528,15198,20986,23531,4312,15957,5644,13398,13961,12009,22527,10995,21172,11212,16136,13100,12464,2638
19,6344,2209,9766,15744,2558,9851,13199,17584,8534,17815,8852,12177,12179,3464,6251,6160,19314,10927,3659,0,12841,15921,16508,16660,15187,8993,13041,9290,16544,6995,18692,6784,15507,11624,9754,5788,18357,9114,11419,16884,10713,18201,6079,10845,14365,1249,20932,9537,10357,11488,12182,10405,18203,9704,12041,3191,4034,11547,4138,9054,10812,11782,18817,17542,8471,9282,7464,12589,10695,18930,12229,4976,5936,3516,5810,10377,2645,16769,7029,4024,9592,9931,9737,10407,16094,18740,3239,11166,2215,9015,11244,8096,17635,8278,16381,8495,11345,10383,11532,3764
