,0,1,2,3,4
0,0.000,7.703,3.136,4.597,10.488
1,7.990,0.000,5.253,4.363,8.752
2,3.764,5.732,0.000,3.390,9.567
3,4.870,4.257,3.153,0.000,6.107
4,10.433,7.160,9.340,6.280,0.000
